x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-3.062859357414221e-05
0.3038214682081728,-0.2321189023617661,1.1,1.1,-3.6835013598193984e-05
0.607636591205375,-0.4642442263828323,1.1,1.1,-2.414713100535418e-05
0.9114490385112022,-0.6963720731986237,1.1,1.1,1.3586949846041943e-05
1.2152626325419045,-0.9284981617029308,1.1,1.1,4.6061369145478364e-05
1.5190808899204316,-1.160618516582872,1.1,1.1,6.372767129347438e-05
1.8229057218549,-1.392731226630322,1.1,1.1,6.658015861898591e-05
2.1267368990003432,-1.624836521190247,1.1,1.1,6.430145156349476e-05
2.430574115563462,-1.8569346296076217,1.1,1.1,6.168657735710159e-05
2.734417218647597,-2.0890257812274307,1.1,1.1,5.878455202907603e-05
3.038265902459456,-2.321110511187939,1.1,1.1,5.629813832875054e-05
3.3421199376540662,-2.5531888959374727,1.1,1.1,5.3683318733156094e-05
3.6459790948864463,-2.785261317717665,1.1,1.1,5.080589615300271e-05
3.949843144811623,-3.017328158770132,1.1,1.1,4.813631775830132e-05
4.253711705187974,-3.249389571991524,1.1,1.1,4.541765278563918e-05
4.557584699567175,-3.4814460160718004,1.1,1.1,4.26442044447359e-05
4.861461745707592,-3.713497720355927,1.1,1.1,4.0157947410718e-05
5.165342614264263,-3.9455449906372015,1.1,1.1,3.762258032136256e-05
5.4692271523405305,-4.177588056260603,1.1,1.1,3.464138133677817e-05
5.773115054143099,-4.409627375916079,1.1,1.1,3.178867888469371e-05
6.077006013878666,-4.641663178948615,1.1,1.1,2.938183392867856e-05
6.380899802202253,-4.873695771151499,1.1,1.1,2.6767182306463013e-05
6.684796266217212,-5.105725381869709,1.1,1.1,2.3889960817329627e-05
6.988695023681925,-5.337752469793193,1.1,1.1,2.1196000076086918e-05
7.292595921699734,-5.569777187818612,1.1,1.1,1.8502050083885722e-05
7.596498654477342,-5.801799994635896,1.1,1.1,1.5912024057399078e-05
7.900402992669776,-6.033821043141715,1.1,1.1,1.3297431015110065e-05
8.204308706932059,-6.265840715577674,1.1,1.1,1.0524181066702604e-05
8.508215567919219,-6.497859317737093,1.1,1.1,7.854856477452831e-06
8.812123193389622,-6.729877078964937,1.1,1.1,5.136378415915048e-06
9.116031506894956,-6.961894381502821,1.1,1.1,2.259244842612153e-06
9.419940126193586,-7.193911531144065,1.1,1.1,-4.346389210200989e-07
9.723848821940544,-7.425928833681958,1.1,1.1,-2.945274879300806e-06
10.027757441239178,-7.657946594909792,1.1,1.1,-5.51065674988354e-06
10.331665601847856,-7.889965044172561,1.1,1.1,-8.229108558155975e-06
10.63557315086994,-8.121984487263555,1.1,1.1,-1.1130793537251603e-05
10.939479858960445,-8.354005382872714,1.1,1.1,-1.3775499239974025e-05
11.243385343877751,-8.5860278838967,1.1,1.1,-1.6286125277942137e-05
11.547289452725211,-8.818052296128817,1.1,1.1,-1.8925230148762226e-05
11.851191956157846,-9.050079001810676,1.1,1.1,-2.049506068393999e-05
12.15509262483068,-9.282108230287262,1.1,1.1,-2.0549811870376024e-05
12.458991535192045,-9.51413982866192,1.1,1.1,-1.9792267761908013e-05
12.762888610793604,-9.746173796934656,1.1,1.1,-1.8876050771364472e-05
13.066784157428668,-9.97820990576049,1.1,1.1,-1.822241047277626e-05
13.37067802220058,-10.210248231587745,1.1,1.1,-1.7281624019049754e-05
13.674570434454324,-10.442288545071452,1.1,1.1,-1.6420177017927567e-05
13.978461394189882,-10.674330769763278,1.1,1.1,-1.566264041441449e-05
14.282350901407275,-10.906374829214904,1.1,1.1,-1.4642520391665313e-05
14.586239185451468,-11.13842057052968,1.1,1.1,-1.3988887306662934e-05
14.890126169874137,-11.37046791725928,1.1,1.1,-1.3335253705272692e-05
15.194012007571926,-11.602516869403717,1.1,1.1,-1.2290571883361799e-05
15.497896698544844,-11.834567197617982,1.1,1.1,-1.1453697729480384e-05
15.801780395689535,-12.066618825453784,1.1,1.1,-1.0800064825518929e-05
16.10566309900601,-12.29867175291111,1.1,1.1,-9.755386674622526e-06
16.40954488494258,-12.530725750644988,1.1,1.1,-8.814610457009662e-06
16.713425906395898,-12.762780742207086,1.1,1.1,-8.160980246525696e-06
17.01730608691764,-12.99483665114908,1.1,1.1,-7.324104646309417e-06
17.321185655852787,-13.226893401022648,1.1,1.1,-6.56657246889832e-06
17.62506453675301,-13.458950838931148,1.1,1.1,-5.7296966870327945e-06
17.92894288251496,-13.691008964874564,1.1,1.1,-4.788919031114513e-06
18.23282076958695,-13.92306754950794,1.1,1.1,-4.0068306480109374e-06
18.53669819796899,-14.155126592831255,1.1,1.1,-3.169953907030248e-06
18.84057524410942,-14.38718586549956,1.1,1.1,-2.357630785088546e-06
19.14445206090486,-14.619245443961152,1.1,1.1,-1.4961955447301245e-06
19.44832864835534,-14.851305098871077,1.1,1.1,-7.386601874029332e-07
19.752205082909157,-15.083364753780996,1.1,1.1,9.822133530322929e-08
20.05608144101465,-15.315424408690912,1.1,1.1,1.1429050404532922e-06
20.35995779912015,-15.547483757807536,1.1,1.1,1.8758889046843748e-06
20.66383423367397,-15.77954287757918,1.1,1.1,2.5295282633169273e-06
20.96771082112444,-16.011601615109196,1.1,1.1,3.4948717288337203e-06
21.271587561471566,-16.243659893949275,1.1,1.1,4.4356622027911496e-06
21.575464607611984,-16.475717484754416,1.1,1.1,4.9854057765362205e-06
21.879341959545712,-16.707774463972967,1.1,1.1,5.822297512409455e-06
22.183219693721064,-16.93983067870827,1.1,1.1,6.8669946131319155e-06
22.48709796303469,-17.17188597606367,1.1,1.1,7.728449689909406e-06
