x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,0.0001332964613845422
-0.354746831721641,0.2926600263778547,1.1,1.1,0.00019143915671886676
-0.7095285239830807,0.5852757182433554,1.1,1.1,0.0002322643145340879
-1.0643405697488293,0.8778526863957795,1.1,1.1,0.00019746002801298594
-1.4191782780227675,1.1703967255950405,1.1,1.1,0.00016272426494866058
-1.774037141769414,1.4629136306010548,1.1,1.1,0.00012800270196192145
-2.1289125619729528,1.7554090122131043,1.1,1.1,9.304374879234002e-05
-2.483799847637265,2.047888757171416,1.1,1.1,5.823745702030026e-05
-2.8386944917268684,2.34035856825559,1.1,1.1,2.3667828586172167e-05
-3.1935918032456447,2.6328241482452244,1.1,1.1,-1.106985666028891e-05
-3.5484873671384065,2.9252911999199145,1.1,1.1,-4.6113816630447635e-05
-3.9033764004287255,3.2177656100198924,1.1,1.1,-8.090614205197683e-05
-4.258254396081119,3.510253081324757,1.1,1.1,-0.00011547630694370704
-4.6131166630994525,3.802759224633789,1.1,1.1,-0.00015029810929160286
-4.967958786428571,4.095289926687216,1.1,1.1,-0.00018525807160811407
-5.32277598309202,4.387850890264642,1.1,1.1,-0.0002199117283545293
-5.677563746054321,4.680447910125971,1.1,1.1,-0.0002545650505546772
-6.032317568279987,4.9730865970704965,1.1,1.1,-0.00028959335949247316
-6.387032666792571,5.26577283783844,1.1,1.1,-0.0003195260657631298
-6.741704534556595,5.558512335209401,1.1,1.1,-0.00032936914486515273
-7.096331148005099,5.851307572651915,1.1,1.1,-0.0003126900405789454
-7.450916002390096,6.144154503032073,1.1,1.1,-0.00028292331498796765
-7.805463144845501,6.437047883471861,1.1,1.1,-0.00025177929120931024
-8.159976806465842,6.729982655053891,1.1,1.1,-0.00022073384472403394
-8.51446112636535,7.022953758860775,1.1,1.1,-0.00018952095537358503
-8.868920335638562,7.315956135975139,1.1,1.1,-0.00015829378222965483
-9.22335857339971,7.608984543518949,1.1,1.1,-0.00012731823628653842
-9.57777997876301,7.902034014555149,1.1,1.1,-9.618975449583295e-05
