x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,5.0541879102059475e-05
-0.2428405566695882,-0.3765121895943794,1.1,1.1,7.451182088490689e-05
-0.4856639049958007,-0.753035134403379,1.1,1.1,9.528970245359647e-05
-0.7284709412465178,-1.1295682966662486,1.1,1.1,8.863013966122346e-05
-0.9712630098235738,-1.5061109593687003,1.1,1.1,8.178908528544776e-05
-1.2140410966216315,-1.8826623158696223,1.1,1.1,7.506900491229786e-05
-1.4568064564157437,-2.259221649154727,1.1,1.1,6.837602761604839e-05
-1.699560164727355,-2.635788331836468,1.1,1.1,6.165586116362806e-05
-1.942303476331504,-3.0123616469005565,1.1,1.1,5.4969035735913e-05
-2.1850373771228666,-3.388940787705896,1.1,1.1,4.821550576087242e-05
-2.427763121876482,-3.765525126864953,1.1,1.1,4.14952917706396e-05
-2.670481875740605,-4.142113947363439,1.1,1.1,3.4808435089719145e-05
-2.913194624609913,-4.518706442560258,1.1,1.1,2.8054857099328146e-05
-3.155902712886212,-4.895301985067874,1.1,1.1,2.1334620899504e-05
-3.3986071264641797,-5.271899857871989,1.1,1.1,1.4553916546816293e-05
-3.641309120118867,-5.648499254331517,1.1,1.1,7.86078530002983e-06
-3.8840097693717337,-6.025099547058925,1.1,1.1,1.2010124515863139e-06
-4.126710328997804,-6.401700108666695,1.1,1.1,-5.452501189549398e-06
-4.369411784891756,-6.778300042886945,1.1,1.1,-1.2233202686418257e-05
-4.612115302201857,-7.154898722332158,1.1,1.1,-1.908061622317567e-05
-4.854822135703118,-7.531495340361234,1.1,1.1,-2.5679887381918363e-05
-5.097533360917012,-7.908089359213452,1.1,1.1,-3.240007884717187e-05
-5.340250142991781,-8.2846799722477,1.1,1.1,-3.9180729284676784e-05
-5.582973647075696,-8.661266462449689,1.1,1.1,-4.5867542882104234e-05
-5.8257049486902,-9.037848112805104,1.1,1.1,-5.2587701379897896e-05
-6.068445212983536,-9.414424116672848,1.1,1.1,-5.91263918793168e-05
-6.311195605103973,-9.790993936292184,1.1,1.1,-6.389484768438175e-05
-6.55395720057297,-10.167556854648824,1.1,1.1,-6.43576567447162e-05
-6.796729909763719,-10.544112782115958,1.1,1.1,-6.067529045608665e-05
-7.039513105288726,-10.92066234608112,1.1,1.1,-5.55647078833161e-05
-7.282305711626504,-11.29720608430503,1.1,1.1,-5.066895610699854e-05
-7.525107011762767,-11.673744444921631,1.1,1.1,-4.583986614585648e-05
-7.76791610942962,-12.050277965691658,1.1,1.1,-4.085646869446684e-05
-8.010732287612761,-12.42680727400263,1.1,1.1,-3.574596054358083e-05
-8.253554560417514,-12.80333281798849,1.1,1.1,-3.0789778102108366e-05
-8.496382121202782,-13.179855225036754,1.1,1.1,-2.5927419012509027e-05
-8.739214163327464,-13.556374853654578,1.1,1.1,-2.0850265773075953e-05
-8.982049790523696,-13.932892420856268,1.1,1.1,-1.5866924006264016e-05
-9.224888196150369,-14.309408374775767,1.1,1.1,-1.1004592127023964e-05
-9.467728573566376,-14.685923342800592,1.1,1.1,-6.108969270609037e-06
-9.71057002650386,-15.062437683437905,1.1,1.1,-1.09235277919793e-06
-9.953411748321702,-15.438952024075205,1.1,1.1,3.890954059005345e-06
-10.196252842752012,-15.81546690247325,1.1,1.1,8.907556386709513e-06
-10.439092592780517,-16.191982856392745,1.1,1.1,1.392415335339669e-05
-10.681929922885717,-16.568500423594433,1.1,1.1,1.8692632815184436e-05
-10.924764295306908,-16.94502014183904,1.1,1.1,2.374252634616741e-05
-11.167594634522612,-17.32154245926052,1.1,1.1,2.891342181537347e-05
-11.410420133891757,-17.69806800324638,1.1,1.1,3.374238807491492e-05
-11.653239986773215,-18.07459731155735,1.1,1.1,3.860466448486859e-05
-11.89605338652592,-18.45113083232738,1.1,1.1,4.3587927922274244e-05
-12.138859436881962,-18.827669192943983,1.1,1.1,4.8604491383958735e-05
-12.38165742082705,-19.20421293116789,1.1,1.1,5.3593901771391893e-05
-12.624446262839728,-19.58076249513305,1.1,1.1,5.8516682557896664e-05
-12.86722533553245,-19.95731842260019,1.1,1.1,6.349993152638323e-05
-13.109993653010578,-20.33388134095682,1.1,1.1,6.845602864469597e-05
-13.352750498259784,-20.7104516983369,1.1,1.1,7.341214753065931e-05
-13.595494885385392,-21.087030032501136,1.1,1.1,7.839540830759693e-05
-13.8382260973731,-21.463616881210275,1.1,1.1,8.341199345281312e-05
-14.08094323795504,-21.840212871851836,1.1,1.1,8.836813983994048e-05
-14.323645410863309,-22.216818362932973,1.1,1.1,9.325756499392906e-05
-14.566331899083597,-22.593434071467986,1.1,1.1,9.827415364505619e-05
-14.809001806348016,-22.97006044559082,1.1,1.1,0.00010316986456655499
-15.051654236388712,-23.346698023062213,1.1,1.1,0.00010809267624376847
-15.294288472191356,-23.723347252016094,1.1,1.1,0.000113263599321601
-15.53690352786127,-24.100008849466786,1.1,1.1,0.00011821981515133695
-15.77949859675737,-24.47668317392143,1.1,1.1,0.0001230488059407052
-16.022072872238546,-24.85337085276755,1.1,1.1,0.0001280320415728191
