x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
-1.4058,8.9388,0.9,0.9,0.28920824239571324
-1.5048,8.9247,0.9,0.9,0.43864473155039246
-1.6028,8.9049,0.9,0.9,0.5892264780753192
-1.6994,8.8793,0.9,0.9,0.5919273134541783
-1.7944,8.8481,0.9,0.9,0.5949102178005317
-1.8874,8.8112,0.9,0.9,0.5914830763849058
-1.978,8.7689,0.9,0.9,0.5774576817321805
-2.066,8.7214,0.9,0.9,0.5661930780557077
-2.1512,8.6691,0.9,0.9,0.5553216867793235
-2.2333,8.612,0.9,0.9,0.5389229166001039
-2.3123,8.5507,0.9,0.9,0.5262089440684106
-2.3879,8.4852,0.9,0.9,0.5044769064858402
-2.4601,8.416,0.9,0.9,0.4813225377417105
-2.5289,8.3435,0.9,0.9,0.4677985958431405
-2.5942,8.2678,0.9,0.9,0.44728447859221276
-2.6561,8.1892,1.0,1.0,0.4229997843708105
-2.7146,8.1081,1.0,1.0,0.3974609881824563
-2.7698,8.0247,1.0,1.0,0.3678163769988821
-2.8219,7.9394,1.0,1.0,0.34098410136661295
-2.8711,7.8523,1.0,1.0,0.3165618127822018
-2.9175,7.7637,1.0,1.0,0.2884672477645687
-2.9613,7.6738,1.0,1.0,0.25946374304941483
-3.0028,7.5828,1.0,1.0,0.24075106346014866
-3.0421,7.4909,1.0,1.0,0.22517096896047942
-3.0793,7.398,1.0,1.0,0.20658812599288212
-3.1146,7.3045,1.0,1.0,0.19222356465101656
-3.1481,7.2102,1.0,1.0,0.16909227123117251
-3.1799,7.1154,1.0,1.0,0.1415431197982868
-3.2105,7.0202,1.0,1.0,0.11783997815189809
-3.2398,6.9246,1.0,1.0,0.08144662586011889
-3.2684,6.8288,1.0,1.0,0.044994753236096925
-3.2966,6.7328,1.0,1.0,0.018189691228294957
-3.3246,6.6368,1.0,1.0,-0.005498938221882106
-3.3527,6.5408,1.0,1.0,-0.031597214916528914
-3.381,6.4449,1.0,1.0,-0.05460509281547621
-3.41,6.3492,1.0,1.0,-0.049787751534833724
-3.4395,6.2536,1.0,1.0,-0.024460670889018835
-3.4692,6.1582,1.0,1.0,-0.004777664321523974
-3.4989,6.0627,1.0,1.0,0.0007422394587212709
