x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
1.2351,8.9499,0.9,0.9,0.26000460999300284
1.1351,8.9498,0.9,0.9,0.38036946709315417
1.0352,8.9445,0.9,0.9,0.48647774172869646
0.9357,8.9344,0.9,0.9,0.45887540136837107
0.8368,8.9197,0.9,0.9,0.4289176887869533
0.7386,8.9008,1.0,1.0,0.3965900198464891
0.6413,8.878,1.0,1.0,0.3658980951415898
0.5448,8.8517,1.0,1.0,0.33489552070402523
0.4493,8.8221,1.0,1.0,0.2963347765251987
0.3546,8.7897,1.0,1.0,0.25538039517228517
0.2609,8.7549,1.0,1.0,0.2090122047808887
0.1679,8.7181,1.0,1.0,0.16945169203227903
0.0755,8.6799,1.0,1.0,0.1680847910505809
-0.0163,8.6402,1.0,1.0,0.19236305377477253
-0.1073,8.5987,1.0,1.0,0.20586919939842835
-0.1973,8.5553,1.0,1.0,0.1992143327822622
-0.2865,8.5101,1.0,1.0,0.1843441398425387
-0.3749,8.4632,1.0,1.0,0.1633851606998495
-0.4624,8.4149,1.0,1.0,0.139931386195663
-0.5493,8.3654,1.0,1.0,0.1286182168684263
-0.6356,8.3148,1.0,1.0,0.12000044350854833
-0.7212,8.2631,1.0,1.0,0.10335124848715968
-0.8063,8.2106,1.0,1.0,0.0909144433843432
-0.8909,8.1573,1.0,1.0,0.08876134791256611
-0.9751,8.1033,1.0,1.0,0.09224228526287771
-1.0587,8.0485,1.0,1.0,0.09566268912634414
-1.1419,7.9929,1.0,1.0,0.0915358180241562
-1.2244,7.9365,1.0,1.0,0.07560693233118763
-1.3066,7.8795,1.0,1.0,0.06307271675458766
-1.3884,7.822,1.0,1.0,0.05753709375571715
-1.4699,7.764,1.0,1.0,0.046475952856945994
-1.5511,7.7056,1.0,1.0,0.03749553709747775
-1.6321,7.647,1.0,1.0,0.0305047040832898
-1.7129,7.588,1.0,1.0,0.019482933509101928
-1.7936,7.529,1.0,1.0,0.018014977950270333
-1.8742,7.4698,1.0,1.0,0.02350560038715636
-1.9547,7.4104,1.0,1.0,0.01948460950990375
-2.035,7.3508,1.0,1.0,0.013989475391381307
-2.1153,7.2912,1.0,1.0,0.016004289591185324
-2.1954,7.2314,1.0,1.0,0.014505530734166033
-2.2755,7.1715,1.0,1.0,0.012497491191131669
-2.3555,7.1115,1.0,1.0,0.012502491183906119
-2.4354,7.0514,1.0,1.0,0.014494330816369978
-2.5153,6.9912,1.0,1.0,0.01599509001869093
-2.595,6.9308,1.0,1.0,0.007004737320705817
-2.6747,6.8704,1.0,1.0,6.7054956110789564e-15
-2.7544,6.81,1.0,1.0,0.0035023686603462174
-2.8341,6.7496,1.0,1.0,0.00899851078115368
-2.9137,6.6891,1.0,1.0,0.00549172137054892
-2.9933,6.6285,1.0,1.0,0.0035024562005980956
-3.0729,6.568,1.0,1.0,0.0035034543918773552
