x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
3.0021,5.8889,0.7,0.7,-0.2509238081223324
4.3006,5.3813,0.7,0.7,-0.326586825317485
4.9735,4.0709,0.7,0.7,-0.2357567398662037
5.1742,2.7605,0.7,0.7,-0.10558146340836733
5.3159,1.4502,0.7,0.7,-0.09591844610020248
5.304,0.1398,0.6,0.6,-0.25212252367133575
4.9971,-1.1705,0.7,0.7,-0.417941191631609
3.734,-1.9024,0.7,0.7,-0.24174275279903254
2.4236,-2.1739,0.7,0.7,-0.12732484826189203
1.1133,-2.3746,0.7,0.7,-0.2550531073080927
-0.1971,-2.2684,0.7,0.7,-0.9539425488357391
-0.4214,-1.0525,0.7,0.7,-0.7764042213004674
0.8772,-0.3796,0.7,0.7,-0.03335721837044978
2.1875,0.1398,0.7,0.7,0.5183645419709542
2.4827,1.4502,0.7,0.7,0.36259035556068875
1.9632,2.7605,0.7,0.7,0.009878745925672268
1.5028,4.0709,0.7,0.7,-0.32695684542521125
1.6563,5.3813,0.7,0.7,-0.5997916784546755
2.9076,5.9007,0.7,0.7,-0.3136507114052297
