x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-0.0018164841662784055
-0.1706322774277363,0.3552331239374398,1.1,1.1,-0.002605356389722189
-0.3407710916233749,0.7107420391673781,1.1,1.1,-0.0031558370976534616
-0.5104794445954806,1.0664871331769352,1.1,1.1,-0.002679955943012669
-0.6798202596001048,1.4224287934532247,1.1,1.1,-0.0022046465344974964
-0.8488564598933109,1.7785275649883776,1.1,1.1,-0.0017295403995765061
-1.0176508899786374,2.1347436777644813,1.1,1.1,-0.0012545410814317995
-1.186266551864657,2.491037755526188,1.1,1.1,-0.0007795015401006872
-1.3547662900549111,2.8473700282555914,1.1,1.1,-0.00030444171701020237
-1.523213185310479,3.203701119697337,1.1,1.1,0.00017055903986071337
-1.6916700033824004,3.559991259833512,1.1,1.1,0.0006458930113777141
-1.8601997462792363,3.916200993656248,1.1,1.1,0.0011215892649345924
-2.0288654160095523,4.2722907874051765,1.1,1.1,0.0015974545419299476
-2.197729778324392,4.628220871062394,1.1,1.1,0.0020757409628702505
-2.366855835232313,4.983951868372532,1.1,1.1,0.0025637396359836986
-2.5363095813372927,5.339447868190714,1.1,1.1,0.003066002182755949
-2.7061664615445964,5.694685323516243,1.1,1.1,0.003576255043343057
-2.8765039683247515,6.049642656161177,1.1,1.1,0.0040870307707369736
-3.047399436643281,6.40429852419512,1.1,1.1,0.004597207716085091
-3.218930122713188,6.758631506935157,1.1,1.1,0.00510721540524392
-3.3911735190050094,7.11262018369838,1.1,1.1,0.005616226301672911
-3.564206960484261,7.466243055049352,1.1,1.1,0.006123979270978884
-3.738107703363951,7.819478700305172,1.1,1.1,0.00663070565852122
-3.912953240114613,8.172305777535438,1.1,1.1,0.0071359989372828244
-4.088820905701766,8.524702866057227,1.1,1.1,0.007639342420409066
-4.265788035090926,8.876648387682613,1.1,1.1,0.008140706967652383
-4.443931963247608,9.228121157986218,1.1,1.1,0.008640056322974982
-4.623330103889837,9.579099520027594,1.1,1.1,0.009029086638544931
-4.804059791983132,9.929562210628845,1.1,1.1,0.00887709785849119
-4.986132604146566,10.27950615844206,1.1,1.1,0.00791068129735896
-5.169361818177252,10.628983733886848,1.1,1.1,0.006502899344938902
-5.353523146924683,10.978057938971792,1.1,1.1,0.005038470706842295
-5.538392303238368,11.32679169695294,1.1,1.1,0.003577440829141592
-5.7237449999678045,11.67524777358133,1.1,1.1,0.002117888328619551
-5.909357186220028,12.023489249618043,1.1,1.1,0.0006578210359342961
-6.095004496092023,12.371578969566611,1.1,1.1,-0.0008040274146399546
-6.2804626424333,12.719579777930598,1.1,1.1,-0.0022691714163598727
-6.465507495598375,13.067554676718553,1.1,1.1,-0.0037395471077166626
-6.649914768436752,13.415566510434031,1.1,1.1,-0.005216924156822425
-6.833460252550444,13.763678202333097,1.1,1.1,-0.00670285355815112
-7.015919660788946,14.1119527544243,1.1,1.1,-0.008198548968001991
-7.197068706001767,14.460452932458685,1.1,1.1,-0.009595550227476728
-7.376683258543426,14.809241738444818,1.1,1.1,-0.009655158149897288
-7.554616996249024,15.15838516698668,1.1,1.1,-0.006667923623779384
-7.731518288539231,15.50798039868247,1.1,1.1,-0.0011927882207578564
-7.908499593380317,15.858143120970428,1.1,1.1,0.004924805996571026
-8.086679432681882,16.208989100041297,1.1,1.1,0.010931379916738733
-8.267176249601015,16.560634102085825,1.1,1.1,0.01673632236308988
-8.451108487294793,16.913193893294746,1.1,1.1,0.021296852736617536
-8.639594510167802,17.266784476116328,1.1,1.1,0.002771870201516272
-8.833075804795074,17.621556582856076,1.1,1.1,-0.07852304302105088
-9.01702095790061,17.978440044407932,1.1,1.1,-0.2369373499803343
-9.162249565433935,18.339126149691868,1.1,1.1,-0.45255214793495263
-9.23896900132632,18.705338082394714,1.1,1.1,-0.5953596324241734
-9.224599188202296,19.077993939286326,1.1,1.1,-0.5030560612161747
-9.1342372973748,19.45380580304457,1.1,1.1,-0.3054180104030489
-8.995242659836679,19.828117195216294,1.1,1.1,-0.15069942807912914
-8.834817652826931,20.19631967637981,1.1,1.1,-0.061596921152408814
-8.670402964872165,20.556740070692623,1.1,1.1,-0.024561618428627387
-8.504330379061956,20.91224748962486,1.1,1.1,-0.008679183963369832
-8.337634545881999,21.266101027079703,1.1,1.1,0.0012795358522988476
-8.171201824840319,21.621259493637,1.1,1.1,0.0009421257749568607
-8.004567103608668,21.977944892624407,1.1,1.1,-0.0073376051820155845
-7.836542479315522,22.33491624197822,1.1,1.1,-0.016716085048327323
-7.665934221403547,22.69091940796537,1.1,1.1,-0.021809983852084346
-7.492005363877534,23.04509606697165,1.1,1.1,-0.02063039789497508
-7.315232201922251,23.39763892639077,1.1,1.1,-0.016130595119897676
-7.136290195822047,23.74891324036738,1.1,1.1,-0.011206012885665919
-6.955854805861271,24.09928426304617,1.1,1.1,-0.0062711841379241885
-6.774601256066741,24.449117248571792,1.1,1.1,-0.001328629481743773
-6.593205164227827,24.798777293583896,1.1,1.1,0.00320961547510006
-6.412341754371348,25.148629730979664,1.1,1.1,0.004987860158935782
-6.232460388323409,25.4989231824354,1.1,1.1,0.0018927610927784117
-6.052938842496898,25.849353584507263,1.1,1.1,-0.004299703192406564
-5.87283775694408,26.19945338353917,1.1,1.1,-0.011069282543451417
-5.691217850469733,26.54875510462756,1.1,1.1,-0.017837586192735927
-5.507139684373606,26.896791115363825,1.1,1.1,-0.02459702637560015
-5.31966381995546,27.24309378333939,1.1,1.1,-0.0312322296878741
-5.127850897267556,27.5871957124032,1.1,1.1,-0.0367365927340191
-4.9308260546684295,27.928643445598585,1.1,1.1,-0.03988786849601717
-4.72827814098827,28.26710842745087,1.1,1.1,-0.04126894559714086
-4.520187468099403,28.60232644328664,1.1,1.1,-0.04224186390771905
-4.30653686795449,28.93403375094752,1.1,1.1,-0.04326717765570673
-4.0873091725062,29.261966765780155,1.1,1.1,-0.04434858071881108
-3.862487056202173,29.58586182437872,1.1,1.1,-0.04531078963138444
-3.632053429747588,29.90545526333733,1.1,1.1,-0.04515944298340968
-3.396059088511853,30.22057508717264,1.1,1.1,-0.04297517697625181
-3.154868341609504,30.53147125635358,1.1,1.1,-0.03946770204385055
-2.9089355122748253,30.83851501021569,1.1,1.1,-0.03568839323788412
