x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-8.626810323185104e-05
-0.3224249313786029,0.3106273025658578,1.1,1.1,-0.00012567618221770397
-0.644831603499213,0.6212850372283706,1.1,1.1,-0.0001571627577499916
-0.9672217169789922,0.931970697814876,1.1,1.1,-0.00014108997748063634
-1.2895973304597717,1.2426815991403777,1.1,1.1,-0.0001248582670847937
-1.611960323571058,1.5534151455260412,1.1,1.1,-0.00010870286160001444
-1.934312575942348,1.8641685622806976,1.1,1.1,-9.247447140481037e-05
-2.2566559672031485,2.1749392537255123,1.1,1.1,-7.608964766944399e-05
-2.5789925559952698,2.485724534675489,1.1,1.1,-5.99385032215876e-05
-2.901324132442067,2.7965216304394693,1.1,1.1,-4.395202527197176e-05
-3.2236525761730364,3.1073280348447696,1.1,1.1,-2.7493042260706642e-05
-3.545979945829999,3.418141062706415,1.1,1.1,-1.1029131438284324e-05
-3.8683081210424617,3.7289578498270535,1.1,1.1,5.035323838113074e-06
-4.190638981439921,4.039775890034023,1.1,1.1,2.1099299334658323e-05
-4.512974496158056,4.350592498142327,1.1,1.1,3.740395616140091e-05
-4.83531645532018,4.661404988966969,1.1,1.1,5.378303839203441e-05
-5.157666917568136,4.972210587816769,1.1,1.1,7.000428731200984e-05
-5.48002776253143,5.283006788519077,1.1,1.1,8.607076821692903e-05
-5.802400869839547,5.593790726876561,1.1,1.1,0.00010229245700200414
-6.124788119121996,5.90455998622271,1.1,1.1,0.00011875271671754083
-6.447191569020605,6.215311612854032,1.1,1.1,0.00013497544915994506
-6.769613009658701,6.526043100597865,1.1,1.1,0.00015104109347509025
-7.092054499678135,6.8367517642692,1.1,1.1,0.00016726838329196602
-7.414517739696069,7.147434918683044,1.1,1.1,0.0001836545501548654
-7.737004877860484,7.458089878654388,1.1,1.1,0.00019996160364842488
-8.059517614788566,7.768713869492084,1.1,1.1,0.0002160288459148426
-8.382058098628306,8.079304385023448,1.1,1.1,0.00023218087940019854
-8.704628029996865,8.389858740063486,1.1,1.1,0.0002485728633643742
-9.027229467536086,8.700374159921038,1.1,1.1,0.00026488624848168384
-9.349864290875466,9.010848048917271,1.1,1.1,0.00028120165382060667
-9.6725343796445,9.321277632361014,1.1,1.1,0.000297358276444608
-9.995241792485032,9.631660314573445,1.1,1.1,0.000313442798577012
-10.31798823001421,9.941993499875716,1.1,1.1,0.0003298455028736433
-10.640775750873887,10.252274324070498,1.1,1.1,0.0003460093346535705
-10.96360623469354,10.56250028098513,1.1,1.1,0.0003622562772713831
