x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,0.00014129387103520825
-0.3131746565710451,-0.3001359711993318,1.1,1.1,0.00021568814304658853
-0.6263122822627105,-0.6003101006818705,1.1,1.1,0.0002977504042202715
-0.939410882437456,-0.9005243830851563,1.1,1.1,0.000313172294906646
-1.252468635904501,-1.2007811599401972,1.1,1.1,0.00032851386883264044
-1.5654836347496768,-1.501082599331259,1.1,1.1,0.0003436953386367415
-1.8784540577821855,-1.8014308693426255,1.1,1.1,0.00035895573673226465
-2.191378170534636,-2.101828311505304,1.1,1.1,0.0003742886511689938
-2.504253891646115,-2.402276920456817,1.1,1.1,0.0003896275626862948
-2.8170794866491806,-2.702779037728192,1.1,1.1,0.00040480584760563173
-3.129853047629715,-3.0033368314037103,1.1,1.1,0.0004201428340732799
-3.442572840120257,-3.303952469567638,1.1,1.1,0.00043555868347054335
-3.7552367827599302,-3.604628293750984,1.1,1.1,0.0004507307665146148
-4.06784322780468,-3.905366298591269,1.1,1.1,0.0004659846785084929
-4.380390180616981,-4.206168912342894,1.1,1.1,0.00048123424729468135
-4.69287590672941,-4.507038129643412,1.1,1.1,0.0004966455562009537
-5.005298411504424,-4.8079762920238,1.1,1.1,0.0005118956697761567
-5.317655873751262,-5.10898556756834,1.1,1.1,0.000527061295723866
-5.629946559002478,-5.410068124361314,1.1,1.1,0.0005424683882619371
-5.9421683858971805,-5.711226217210361,1.1,1.1,0.0005577139532881953
-6.254319706691313,-6.012462014199762,1.1,1.1,0.0005729577486894413
-6.56639852674737,-6.313777770137154,1.1,1.1,0.0005881969342236456
-6.8784031115979065,-6.615175653106804,1.1,1.1,0.0006035144908151672
-7.190331466605402,-6.916657831193011,1.1,1.1,0.0006188330853393727
-7.502181770579057,-7.218226559203379,1.1,1.1,0.0006340695298548603
-7.8139522023281085,-7.519884005222207,1.1,1.1,0.0006494667770663703
-8.125640853938371,-7.821632424057149,1.1,1.1,0.0006646160947893607
-8.437245904219065,-8.123474070515824,1.1,1.1,0.0006797607202634333
-8.74876553197939,-8.425410939235775,1.1,1.1,0.0006521135029386307
-9.060197742581826,-8.72744545847138,1.1,1.1,0.00034514087019040744
-9.371562569125055,-9.029555600486445,1.1,1.1,-0.0004449095596585238
-9.682976914713088,-9.331611366947934,1.1,1.1,-0.0015364361560921758
-9.994585260481871,-9.633452493066384,1.1,1.1,-0.002682732796985419
-10.306532087567373,-9.934918540605576,1.1,1.1,-0.0038290357450104892
-10.61896179038219,-10.235849158052694,1.1,1.1,-0.004975720893308073
-10.932018589892133,-10.536084080618268,1.1,1.1,-0.006123532123954292
-11.245847140679956,-10.835462956789438,1.1,1.1,-0.007272031530545833
-11.560591750434838,-11.133825348329996,1.1,1.1,-0.008420861779709778
-11.876396813569384,-11.431010903727133,1.1,1.1,-0.00957022598115997
-12.1934067244962,-11.72685935819135,1.1,1.1,-0.01072001111764378
-12.511765964351204,-12.021210360209825,1.1,1.1,-0.01186991686167643
-12.831618840823634,-12.313903558269692,1.1,1.1,-0.01301958837673107
-13.153109835049444,-12.604778514134786,1.1,1.1,-0.0141681180953054
-13.476383341441242,-12.89367487629224,1.1,1.1,-0.015314728874373993
-13.80158384113498,-13.180432466675963,1.1,1.1,-0.016409430560415623
-14.128855555096491,-13.464890760326377,1.1,1.1,-0.017188532450623673
-14.458314605919464,-13.746914121891349,1.1,1.1,-0.017432181548635038
-14.789953969010826,-14.026472891978022,1.1,1.1,-0.017348541673471444
-15.123733664896603,-14.303566203352696,1.1,1.1,-0.01720924710056715
-15.459613453932675,-14.578193102058284,1.1,1.1,-0.017072396654230215
-15.797553269921677,-14.85035280758445,1.1,1.1,-0.01693795519220599
-16.137513133389625,-15.12004419252736,1.1,1.1,-0.016805247686860803
-16.479452804692407,-15.387266563100086,1.1,1.1,-0.016675194560239068
-16.82333213090926,-15.6520189653455,1.1,1.1,-0.0165478060638415
-17.1691112192896,-15.914300358583173,1.1,1.1,-0.01642241591117459
-17.516749830189294,-16.174110049026144,1.1,1.1,-0.016299572024062896
-17.866207897410966,-16.43144690927059,1.1,1.1,-0.016179071410655242
-18.21744526803388,-16.686310158806148,1.1,1.1,-0.016061184443831655
-18.570421875860703,-16.938698930399127,1.1,1.1,-0.01594592086285694
-18.9250977414174,-17.188612183369088,1.1,1.1,-0.015832871317935322
-19.281432538336496,-17.436049137205664,1.1,1.1,-0.015792003641017988
-19.639386373867392,-17.681008837951815,1.1,1.1,-0.016181647905788785
-19.99894675984465,-17.923446016007883,1.1,1.1,-0.01729757058255086
-20.36021707052643,-18.16313137478114,1.1,1.1,-0.01885828316195601
-20.72333033956371,-18.39978748620804,1.1,1.1,-0.020499792970286822
-21.088419947500984,-18.63313718239506,1.1,1.1,-0.022145961442581515
-21.455619101435985,-18.862903122002027,1.1,1.1,-0.023795656288074965
-21.825060835019716,-19.08880813713545,1.1,1.1,-0.02544767788023531
-22.19687852879666,-19.310574886455125,1.1,1.1,-0.02678830569533689
-22.57120538986456,-19.5279260286208,1.1,1.1,-0.02273164583347365
-22.948081397697397,-19.740799990039157,1.1,1.1,-0.005067977496834419
-23.326118978360384,-19.952435021380484,1.1,1.1,0.024785157205696812
-23.70281503519856,-20.16864922015336,1.1,1.1,0.056184815888151635
-24.075636551993945,-20.395329368776093,1.1,1.1,0.05671517270158935
-24.44252003285878,-20.63708117203173,1.1,1.1,-0.01627327750783736
-24.808500896879043,-20.879139802573725,1.1,1.1,-0.15999559806591995
-25.184117507919314,-21.091725148613648,1.1,1.1,-0.34114013862072334
-25.580051930469825,-21.24466441493956,1.1,1.1,-0.48652304045471156
-26.00514925457785,-21.30885141707852,1.1,1.1,-0.5349493901115818
-26.44115577168456,-21.270910375916035,1.1,1.1,-0.5749896940248531
-26.84915410891758,-21.1294601350468,1.1,1.1,-0.6936277562985951
-27.1897069867959,-20.883421595566368,1.1,1.1,-0.8038473755183076
-27.42495072140393,-20.533988417952145,1.1,1.1,-0.7411421471810884
-27.53952564979388,-20.11485306542503,1.1,1.1,-0.6021362127756131
-27.537067389121663,-19.681517975036293,1.1,1.1,-0.41289537670032916
-27.452285494302373,-19.25565583752008,1.1,1.1,-0.18698718400635408
-27.34013179570524,-18.833786357277837,1.1,1.1,-0.05513150620069606
-27.2237788647646,-18.41425901511416,1.1,1.1,-0.027822356663491837
-27.102793344795924,-17.997190107069425,1.1,1.1,-0.03251009178121367
-26.976203240257902,-17.582736168828188,1.1,1.1,-0.03789520283632731
-26.84303646888584,-17.171053822798296,1.1,1.1,-0.04324033570399327
-26.70232120858518,-16.76229960466429,1.1,1.1,-0.048499413764061264
-26.55308537709121,-16.356630136834077,1.1,1.1,-0.053531417482877354
-26.394357065586004,-15.954201954992127,1.1,1.1,-0.057062071576370534
-26.22523391739507,-15.555175584098071,1.1,1.1,-0.0573246905185608
-26.04575357046141,-15.159764970707949,1.1,1.1,-0.05493454152529834
-25.85662897761738,-14.768222479831152,1.1,1.1,-0.05190571980820318
-25.65858774794505,-14.380801170264045,1.1,1.1,-0.04905257801823958
-25.45235749052646,-13.99775418752636,1.1,1.1,-0.04638374806009298
-25.238665727720285,-13.619334763861188,1.1,1.1,-0.0438890299998327
-25.018240155331974,-13.24579595806489,1.1,1.1,-0.041412169151200114
-24.79180829572019,-12.877390828933816,1.1,1.1,-0.03681465953116004
-24.56013955863177,-12.514230122212634,1.1,1.1,-0.026571759430679423
-24.324550751730857,-12.154550144706866,1.1,1.1,-0.011139999538335202
-24.08674494857562,-11.795265712495878,1.1,1.1,0.006100488351173726
-23.848433374721164,-11.43326432379723,1.1,1.1,0.027930023948887467
-23.611686724095023,-11.06550961994808,1.1,1.1,0.06128626076470753
-23.38324895291376,-10.689956143521837,1.1,1.1,0.10620602231441509
-23.173129585926077,-10.305250663038596,1.1,1.1,0.1572553305108306
-22.991404924876267,-9.9100544298214,1.1,1.1,0.20216000467762554
-22.84765018387145,-9.50321896626908,1.1,1.1,0.22326353632903242
-22.745098323456315,-9.08600575053515,1.1,1.1,0.22145558037904833
-22.682630351975806,-8.661330075456554,1.1,1.1,0.21255510363932145
-22.65904194197792,-8.232139494964269,1.1,1.1,0.20384141994871396
-22.673128852733985,-7.801381649712641,1.1,1.1,0.1960829058222806
-22.723686930238728,-7.372004093632642,1.1,1.1,0.189719733607741
-22.80951184704013,-6.946954554101992,1.1,1.1,0.18502898346578694
-22.929399535856277,-6.529180498328292,1.1,1.1,0.1821695340700879
-23.082145582511764,-6.121629566965853,1.1,1.1,0.1812182112252324
-23.266545919724702,-5.727249400669057,1.1,1.1,0.1821907669639319
-23.481396220043045,-5.348987553368859,1.1,1.1,0.18505002975770857
-23.72549224273814,-4.98979166571959,1.1,1.1,0.1896968736837377
-23.997629833804726,-4.652609378375593,1.1,1.1,0.19594680301532516
-24.296604752514146,-4.340388245267862,1.1,1.1,0.2034954349007996
-24.621212758137705,-4.056075907050723,1.1,1.1,0.21157014018811765
-24.9702496099468,-3.802619830931764,1.1,1.1,0.2156939830976534
-25.34235678633589,-3.5828003681828364,1.1,1.1,0.21038366303336845
-25.73436793030916,-3.3974343662346795,1.1,1.1,0.19855763943356017
-26.14194314421545,-3.246064532752377,1.1,1.1,0.18713441629923727
-26.560722497304912,-3.1282122414518225,1.1,1.1,0.1777125616016143
-26.986357332865925,-3.043387071670429,1.1,1.1,0.16611391802299735
-27.415606798527072,-2.989964087607204,1.1,1.1,0.14850553552076648
-27.8472617970509,-2.964236732388841,1.1,1.1,0.12717855297693764
-28.28033116703114,-2.962275570078754,1.1,1.1,0.10528126824634992
-28.713826001869137,-2.980148996656123,1.1,1.1,0.08274156128234184
-29.147003342446165,-3.013722041795256,1.1,1.1,0.05925520341902546
-29.57956633466357,-3.058490033440242,1.1,1.1,0.035497303436969906
-30.01126538865984,-3.1099091872949,1.1,1.1,0.014299287226311434
-30.44185351627456,-3.163455578714957,1.1,1.1,0.0021563090161852583
-30.871326468062577,-3.216454225324245,1.1,1.1,0.0014406830046394742
-31.300116646751302,-3.269554511724268,1.1,1.1,0.005972505847594231
-31.72870172466779,-3.3237528894469337,1.1,1.1,0.01077578767993954
-32.15755677243796,-3.380044335726838,1.1,1.1,0.01494803286592919
-32.58688506964327,-3.4392762246213207,1.1,1.1,0.018381978565976183
-33.016406586519004,-3.5020334185438493,1.1,1.1,0.021511522351040178
-33.44579099374531,-3.5688735487695062,1.1,1.1,0.02463997321159343
-33.874708048725694,-3.640354246573304,1.1,1.1,0.027803537349194156
-34.30282759558706,-3.7170331432302897,1.1,1.1,0.031010118661088368
-34.72981921828619,-3.799467870015528,1.1,1.1,0.03426495811543593
-35.15535293439672,-3.88821614492742,1.1,1.1,0.03757115833547684
-35.579098414598775,-3.9838354257942536,1.1,1.1,0.04092917732607848
-36.00072532957253,-4.086883517337818,1.1,1.1,0.044334939034994365
-36.419903610168255,-4.197918050833178,1.1,1.1,0.04778143509305327
-36.83630292706607,-4.317496484108604,1.1,1.1,0.051257437489437466
-37.24959303766952,-4.446176708609274,1.1,1.1,0.054745707894052795
-37.65944378610549,-4.584516182163475,1.1,1.1,0.05822504962608978
-38.06552492977748,-4.733072536046239,1.1,1.1,0.06168979960313775
-38.46750622608905,-4.892403574979387,1.1,1.1,0.06689029095862138
-38.86504745925604,-5.063080198913677,1.1,1.1,0.07866136328837094
-39.256998070316406,-5.246764547976258,1.1,1.1,0.09873585109640444
-39.64081428935419,-5.446993981743738,1.1,1.1,0.12254672044463465
-40.01381506335728,-5.6674913610831945,1.1,1.1,0.14675011310533834
-40.37329392936587,-5.911970701077778,1.1,1.1,0.17330665615566476
-40.714600693507634,-6.183489867786297,1.1,1.1,0.20599349105211448
-41.02978351645581,-6.483991724887575,1.1,1.1,0.24474825609783699
-41.31057002930465,-6.815310818570112,1.1,1.1,0.2823712901138096
-41.54868291991632,-7.179223763810678,1.1,1.1,0.311263947474741
-41.73546285970404,-7.573213501491584,1.1,1.1,0.3399319730865969
-41.86161319002811,-7.987595546058348,1.1,1.1,0.3826989090467518
-41.917776632612544,-8.412004633494723,1.1,1.1,0.42855754889712216
-41.89470466028851,-8.836090502927668,1.1,1.1,0.4345166619734431
-41.7908391142506,-9.250544874785763,1.1,1.1,0.38722878390070914
-41.617276163085215,-9.647774684327768,1.1,1.1,0.3295383663810992
-41.38629080615968,-10.020346524538263,1.1,1.1,0.28941828996244173
-41.11012326676963,-10.360874859702609,1.1,1.1,0.26436840089450675
-40.79868177676649,-10.665172945642718,1.1,1.1,0.24239382492890657
-40.45811623727601,-10.93420930896506,1.1,1.1,0.21924207749658683
-40.0942356398528,-11.169419915245374,1.1,1.1,0.21978400027740277
