x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-5.390874885139891e-05
-0.3388605540203788,0.0990058764704023,1.1,1.1,-8.051087271216355e-05
-0.6777198370735213,0.1980253805339656,1.1,1.1,-0.0001063687337633636
-1.0165779903780126,0.2970583709720999,1.1,1.1,-0.00010511349637740228
-1.3554352257617155,0.39610470656623,1.1,1.1,-0.00010426593296727563
-1.6942917550525127,0.4951643873163557,1.1,1.1,-0.00010322581584283861
-2.0331477194689795,0.5942373426131798,1.1,1.1,-0.0001019137479088636
-2.3720032602297008,0.6933233606288343,1.1,1.1,-0.0001006580206255975
-2.7108585891625494,0.7924224413633144,1.1,1.1,-9.953809303441422e-05
-3.049713918095398,0.8915343729887572,1.1,1.1,-9.84975622210053e-05
-3.3885693882468217,0.9906592261144403,1.1,1.1,-9.72812762190832e-05
-3.727425140835416,1.0897967183032136,1.1,1.1,-9.616103246846585e-05
-4.066281458298341,1.1889469201643543,1.1,1.1,-9.49445415697674e-05
-4.405138411244883,1.2881096198700002,1.1,1.1,-9.372798062810017e-05
-4.743996282112204,1.3872847468108582,1.1,1.1,-9.264723681878775e-05
-5.082855141509601,1.4864722303776312,1.1,1.1,-9.152663327700724e-05
-5.421715271874235,1.5856719293517438,1.1,1.1,-9.044570629854182e-05
-5.760576814424689,1.684883843733196,1.1,1.1,-8.926862605124069e-05
-6.099439910379541,1.7841077616941103,1.1,1.1,-8.805170503147344e-05
-6.438304771566672,1.8833436832344916,1.1,1.1,-8.679493819191125e-05
-6.777171539204656,1.9825913965264617,1.1,1.1,-8.567397154110812e-05
-7.116040495730656,2.0818509015700264,1.1,1.1,-8.463253358694824e-05
-7.454911711753978,2.1811220571465952,1.1,1.1,-8.35910658141423e-05
-7.793785399102474,2.28040479264689,1.1,1.1,-8.246993911329417e-05
-8.132661698994742,2.3796990374616045,1.1,1.1,-8.107705461826729e-05
-8.471540893867939,2.4790046503721723,1.1,1.1,-7.972396854173532e-05
-8.810423054331354,2.578321490159999,1.1,1.1,-7.87783807437911e-05
-9.149308462822155,2.677649486215802,1.1,1.1,-7.783273318362061e-05
-9.488197189949627,2.776988638539576,1.1,1.1,-7.657558304104062e-05
-9.827089518150942,2.876338735303453,1.1,1.1,-7.539804338533845e-05
-10.16598558864468,2.9756997765074287,1.1,1.1,-7.422052886348009e-05
-10.504885472040124,3.07507155032363,1.1,1.1,-7.292353671886153e-05
-10.843789521383746,3.174454056752057,1.1,1.1,-7.184197667859432e-05
-11.182697807284825,3.2738470839648417,1.1,1.1,-7.089620731195334e-05
-11.521610541571226,3.3732507025712724,1.1,1.1,-6.963900227185557e-05
-11.860527936070838,3.472664700743471,1.1,1.1,-6.832570051080918e-05
-12.199450132002228,3.572089007872154,1.1,1.1,-6.728399311001131e-05
-12.538377270583991,3.671523482738738,1.1,1.1,-6.616262497578252e-05
-12.877309563643994,3.7709681253432215,1.1,1.1,-6.490549999329883e-05
-13.21624722301011,3.870422723857728,1.1,1.1,-6.395974533076382e-05
-13.555190389900924,3.9698872782822616,1.1,1.1,-6.27424917743764e-05
-13.894139276144305,4.06936171800753,1.1,1.1,-6.133350130802472e-05
-14.233094022958838,4.168845760596373,1.1,1.1,-6.194757916871887e-05
-14.572054700953805,4.268339476658078,1.1,1.1,-6.649265308293073e-05
-14.911017285399634,4.3678422307090266,1.1,1.1,-7.468437868679646e-05
-15.24997351500928,4.467352822391272,1.1,1.1,-8.477853621070849e-05
-15.588914987277114,4.566870051346868,1.1,1.1,-9.53533728047106e-05
-15.927833017260337,4.666392858436452,1.1,1.1,-0.00010541362031679647
-16.26671927306263,4.765920043302075,1.1,1.1,-0.00011535231187918848
-16.605565210959774,4.865450334976502,1.1,1.1,-0.00012583455958147053
-16.944362357836866,4.964982674320362,1.1,1.1,-0.0001363358276371136
-17.283102099360402,5.064515860975719,1.1,1.1,-0.00014646675094976853
-17.62177603302476,5.164048765193911,1.1,1.1,-0.00015662072634047412
-17.960375685715004,5.2635801160077005,1.1,1.1,-0.0001670560414236
-18.298892513706956,5.363108854277725,1.1,1.1,-0.00017747933381947307
-18.637317973276392,5.462633709036744,1.1,1.1,-0.0001878526693061555
-18.97564366191768,5.562153621145399,1.1,1.1,-0.00019833842974835973
-19.31386103590663,5.661667319636446,1.1,1.1,-0.00020885903709612187
-19.65196155151903,5.761173745370528,1.1,1.1,-0.0002192000352659649
-19.98993680624925,5.8606716273804,1.1,1.1,-0.00022966035375038014
-20.327778256373087,5.96015983591741,1.1,1.1,-0.00024043549881240083
-20.665477358166328,6.059637170623609,1.1,1.1,-0.0002510781223876945
-21.00302570912336,6.159102572359633,1.1,1.1,-0.0002616303626595155
-21.340414694910667,6.258554699548954,1.1,1.1,-0.00027250503600642834
-21.67763598363193,6.357992563661502,1.1,1.1,-0.00028133156577864605
-22.014680890344355,6.457414893730043,1.1,1.1,-9.524456778268403e-05
-22.35154362508608,6.556820277568742,1.1,1.1,0.0008257170687547533
-22.688476263025866,6.656185202283719,1.1,1.1,0.0026672729270407016
-23.02620452645628,6.755445342810902,1.1,1.1,0.004889540745161784
-23.365504905750097,6.854532137528755,1.1,1.1,0.007063052637071844
-23.7071539618894,6.953376883597172,1.1,1.1,0.009171265374783338
-24.051928185246943,7.051911019394618,1.1,1.1,0.016948683790597194
-24.40059149774173,7.150031172919118,1.1,1.1,0.04610557961354362
-24.75265980207487,7.244195087870674,1.1,1.1,0.10398607938936472
-25.10535928285998,7.32455100292694,1.1,1.1,0.18279637626674541
-25.45567096925241,7.380571214023154,1.1,1.1,0.27839809740116866
-25.80057574918896,7.401728228922404,1.1,1.1,0.38902817430479997
-26.13705458121569,7.377494414169215,1.1,1.1,0.47047738966138936
-26.46231006644303,7.298431708277028,1.1,1.1,0.4504330568475775
-26.776055389931063,7.167439328732997,1.1,1.1,0.350732952416568
-27.079592163349496,6.995222773796557,1.1,1.1,0.24460087520552115
-27.374246852838464,6.792610543112006,1.1,1.1,0.15616531063606992
-27.66134627758454,6.570431418760811,1.1,1.1,0.081666790814684
-27.94221704494644,6.339514041605841,1.1,1.1,0.018589276029528406
-28.21832182638657,6.110258948378844,1.1,1.1,-0.0324776986887451
-28.492625929688437,5.888340089874153,1.1,1.1,-0.07493579165056359
-28.76902719954134,5.676496753534876,1.1,1.1,-0.11513583531511772
-29.051437743711386,5.477424307825141,1.1,1.1,-0.1541372700692452
-29.343769458136787,5.293818121209083,1.1,1.1,-0.18733988673751617
-29.649933744490728,5.128373420932235,1.1,1.1,-0.20767280821036707
-29.972230488598623,4.983916273256319,1.1,1.1,-0.2178512895727518
-30.30791270660465,4.8636819252842,1.1,1.1,-0.22912685305918035
-30.65324735590462,4.770985200789676,1.1,1.1,-0.2467208180368875
-31.004501817550068,4.709141347202282,1.1,1.1,-0.2708694946638351
-31.35794311954609,4.681465258905101,1.1,1.1,-0.29828690107612116
-31.709838642944227,4.691271406625474,1.1,1.1,-0.31622138069550654
-32.056670067994126,4.74063718631297,1.1,1.1,-0.3143271336864002
-32.39558640335437,4.827791716950112,1.1,1.1,-0.3012916113981525
-32.723865872686005,4.950218200969626,1.1,1.1,-0.28825705305270816
-33.03878684086867,5.105399911413537,1.1,1.1,-0.27796047869680474
-33.337627602172674,5.290819838886698,1.1,1.1,-0.2701919387123668
-33.617696812863514,5.503960409119641,1.1,1.1,-0.2625974854169562
-33.87704530346398,5.742282794446315,1.1,1.1,-0.2538043091325884
-34.114489874085336,6.003226207711176,1.1,1.1,-0.24545583755765238
-34.32888255887502,6.284229085056481,1.1,1.1,-0.23910472316249445
-34.51907532137118,6.582729580187316,1.1,1.1,-0.2351193822897426
