x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-0.00011263591894655943
-0.438290490562023,-0.0372000855834618,1.1,1.1,-0.00016736880639721673
-0.8765844988792773,-0.0743567268899384,1.1,1.1,-0.0002187894270316397
-1.3148820249517623,-0.1114711551337497,1.1,1.1,-0.0002119384227543271
-1.7531828049478144,-0.148544689473104,1.1,1.1,-0.00020521023902239063
-2.191486838867446,-0.1855787370100979,1.1,1.1,-0.00019880259129311352
-2.6297939508229087,-0.2225743530712885,1.1,1.1,-0.00019216861285496173
-3.068103876982537,-0.2595329447587723,1.1,1.1,-0.00018545957385519602
-3.506416705290233,-0.2964557432868762,1.1,1.1,-0.00017883505847029592
-3.944732259858221,-0.3333440678138015,1.1,1.1,-0.0001721915850292921
-4.383050276854862,-0.3701991495538754,1.1,1.1,-0.0001654634776197304
-4.821370756280169,-0.4070223076653194,1.1,1.1,-0.00015884856625363223
-5.259693522246355,-0.4438148613063284,1.1,1.1,-0.0001523468915759545
-5.698018486809564,-0.4805779537473546,1.1,1.1,-0.00014560921757836529
-6.136345562025906,-0.5173129920904876,1.1,1.1,-0.00013886209133095543
-6.574674484063739,-0.5540212075500545,1.1,1.1,-0.00013223770081617246
-7.013005252923063,-0.5907039192842631,1.1,1.1,-0.00012573602508010498
-7.451337604772232,-0.6273623585074407,1.1,1.1,-0.00011912107625971735
-7.889671627555135,-0.663997756433914,1.1,1.1,-0.00011226070817613816
-8.328006969496247,-0.7006115201657727,1.1,1.1,-0.0001057495433807989
-8.766343630595566,-0.7372048809173503,1.1,1.1,-9.924780540011323e-05
-9.204681434965332,-0.7737789819590788,1.1,1.1,-9.239687280565602e-05
-9.643020294661667,-0.810335318336943,1.1,1.1,-8.577240885770415e-05
-10.081360033796804,-0.8468750333213813,1.1,1.1,-7.915736797992126e-05
-10.519700564426868,-0.8833994460706088,1.1,1.1,-7.242903949057455e-05
-10.958041798607976,-0.9199098757428203,1.1,1.1,-6.590831097788336e-05
-11.396383560452374,-0.9564075535523632,1.1,1.1,-5.9274334349373914e-05
-11.834725674072285,-0.9928937107135504,1.1,1.1,-5.255536120135044e-05
-12.273068051523843,-1.0293697543284717,1.1,1.1,-4.60533960321353e-05
-12.711410692807034,-1.0658368276675794,1.1,1.1,-3.940989776208012e-05
-13.149753246146352,-1.1022962498890818,1.1,1.1,-3.256813667080171e-05
-13.588095711541786,-1.1387493401511803,1.1,1.1,-2.595281208924992e-05
-14.026438001049463,-1.17519741761209,1.1,1.1,-1.9431864962057695e-05
-14.464779850837736,-1.2116416255422562,1.1,1.1,-1.2703206696159808e-05
