x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,0.00018311544247969885
-0.4470895978856958,-0.09416882273686,1.1,1.1,0.000329417512702003
-0.8941657621818855,-0.1884129466829229,1.1,1.1,0.000585078280319301
-1.3412179836178797,-0.2827768763149878,1.1,1.1,0.0008037783985847639
-1.78823584430791,-0.3773050247248732,1.1,1.1,0.0010225071698084513
-2.235208926366268,-0.4720418963893857,1.1,1.1,0.0012413531941257965
-2.6821266291372834,-0.5670319044003588,1.1,1.1,0.0014601666305045424
-3.128978717505134,-0.6623196446195493,1.1,1.1,0.0016654737422930666
-3.5757545908141504,-0.7579494387538328,1.1,1.1,0.0017894680865726017
-4.022446298572599,-0.853954916469443,1.1,1.1,0.0017770625223776637
-4.469056308174471,-0.9503252029558368,1.1,1.1,0.0016820115329821083
-4.915589463022765,-1.0470381830520583,1.1,1.1,0.0015728261234490783
-5.362050880675409,-1.144071467442265,1.1,1.1,0.0014639547892433692
-5.808445313150452,-1.2414029409655007,1.1,1.1,0.0013550540028863356
-6.254777969390772,-1.3390104884608107,1.1,1.1,0.0012459812590523644
-6.701053601414403,-1.436871720612359,1.1,1.1,0.0011372024227679636
-7.147277235394305,-1.5349646136441546,1.1,1.1,0.001028266105862437
-7.593453897503426,-1.6332669610102706,1.1,1.1,0.0009190772167731979
-8.039588522529746,-1.7317564647798358,1.1,1.1,0.000810100634706061
-8.485685953876263,-1.8304109184069293,1.1,1.1,0.0007012653165140091
-8.931751309100923,-1.929208206730597,1.1,1.1,0.0005922384833760379
-9.377789522991668,-2.0281261232049244,1.1,1.1,0.0004831514436251417
-9.823805530336497,-2.127142369899034,1.1,1.1,0.0003742538332828608
-10.269804265923396,-2.2262348316519707,1.1,1.1,0.0002653319170455389
-10.7157907559253,-2.3253813019178136,1.1,1.1,0.00015632648316585596
-11.161769935130197,-2.424559574150649,1.1,1.1,4.734451559331066e-05
-11.607746738326064,-2.523747441804558,1.1,1.1,-6.168525397324764e-05
-12.053726100300883,-2.622922698333634,1.1,1.1,-0.0001706083789051422
-12.499713138612568,-2.7220631371919413,1.1,1.1,-0.0002794841462430421
-12.945712605279166,-2.8211466432185404,1.1,1.1,-0.00038862121084143754
-13.391729617858584,-2.9201509184825447,1.1,1.1,-0.0004977344193284008
-13.837769111138806,-3.019053756438041,1.1,1.1,-0.000606503366005801
-14.283835928522858,-3.1178329505391145,1.1,1.1,-0.0007154496997673711
-14.729935187568632,-3.216466477009769,1.1,1.1,-0.0008245851752456679
-15.176071823064133,-3.314931855149201,1.1,1.1,-0.0009334587352571136
-15.622250769797311,-3.413207152566381,1.1,1.1,-0.001042461383856885
-16.06847696255617,-3.5112699799454696,1.1,1.1,-0.0011514619872553932
-16.514755427513652,-3.609098222125512,1.1,1.1,-0.001260460009057926
-16.961091008072767,-3.706669672560591,1.1,1.1,-0.0013694778713595885
-17.407488821791432,-3.803962033319824,1.1,1.1,-0.0014782538587483852
-17.853953712072656,-3.900953280627226,1.1,1.1,-0.001587238320326102
-18.300490705089384,-3.997621116551913,1.1,1.1,-0.001680866395642531
-18.7471047356296,-4.093943334547967,1.1,1.1,-0.0016815038036270308
-19.193797996932418,-4.189910339194316,1.1,1.1,-0.001526943560691484
-19.640561259116595,-4.285562979569252,1.1,1.1,-0.001278768014185721
-20.08738264213701,-4.3809550814157525,1.1,1.1,-0.001014971544055748
-20.53424999179361,-4.476140379091847,1.1,1.1,-0.0007512919844222699
-20.98115133665631,-4.57117251557059,1.1,1.1,-0.0004875583079108079
-21.428074613910034,-4.666105316594962,1.1,1.1,-0.00022393635391955235
-21.87500794350965,-4.760992425138023,1.1,1.1,3.983617416871538e-05
-22.32193917125514,-4.855887575557797,1.1,1.1,0.00030367146646669235
-22.768856325716364,-4.950844593597264,1.1,1.1,0.0005672966377600206
-23.21574752684821,-5.04591712222948,1.1,1.1,0.0008311042403887056
-23.662600529065685,-5.141158895812475,1.1,1.1,0.0010948759655780456
-24.109403452323647,-5.236623740089226,1.1,1.1,0.0013585061303544679
-24.55614423380702,-5.332365206647824,1.1,1.1,0.0016223012729362685
-25.002810993470668,-5.428437212616224,1.1,1.1,0.0018860487096889198
-25.44939148572961,-5.524893309582521,1.1,1.1,0.0021499537145297843
-25.895873830538694,-5.621787323289691,1.1,1.1,0.0023739785718329765
-26.342246056467825,-5.719173079480726,1.1,1.1,0.002222392032406623
-26.78850313734405,-5.817071596697021,1.1,1.1,0.001306770284188051
-27.23469305027275,-5.91526309410348,1.1,1.1,-0.00017139808358591143
-27.680887166909724,-6.013419042759481,1.1,1.1,-0.0017840914117543993
-28.127157224450645,-6.111210365414623,1.1,1.1,-0.0033974387291907065
-28.573574868706192,-6.20830816758844,1.1,1.1,-0.005010825783257006
-29.020211745487067,-6.304383280645568,1.1,1.1,-0.0066241351785995455
-29.46713959198893,-6.399106901490504,1.1,1.1,-0.008226114075908139
-29.91442996263751,-6.492149770102917,1.1,1.1,-0.00937084064431281
-30.36215258415928,-6.583192130498609,1.1,1.1,-0.009070458017540481
-30.810298592212877,-6.672267886498706,1.1,1.1,-0.0071687750186430815
-31.258756954068694,-6.759871704905871,1.1,1.1,-0.004627761640396964
-31.70740969174002,-6.8465289578702135,1.1,1.1,-0.00204953523703712
-32.156139010010016,-6.932765108926802,1.1,1.1,0.0005287767416229108
-32.60482702227691,-7.019105804380628,1.1,1.1,0.0031074493606655603
-33.053355750553955,-7.106076416381795,1.1,1.1,0.005687437490158846
-33.50160739962434,-7.194202408465374,1.1,1.1,0.008107503098229201
-33.94946399150131,-7.284009244166436,1.1,1.1,0.009555709191460888
-34.39683998985986,-7.375890884058835,1.1,1.1,0.009379912106558348
-34.84377935086701,-7.46971454579188,1.1,1.1,0.00822757779412928
-35.29035828958159,-7.565215852668713,1.1,1.1,0.006911009113015243
-35.736652929677454,-7.662130336607514,1.1,1.1,0.00559354227351223
-36.18273948621343,-7.760193620911415,1.1,1.1,0.00427586930558182
-36.628694265633314,-7.859141420268522,1.1,1.1,0.0029581934730759803
-37.07459339161095,-7.958709357981973,1.1,1.1,0.0016412420412437367
-37.520513170590135,-8.058632965969942,1.1,1.1,0.0003904695750489119
-37.966529634859775,-8.158648050305494,1.1,1.1,-0.0005876619319198566
-38.41268445596284,-8.258537845857292,1.1,1.1,-0.001196812813704454
-38.85894299899846,-8.358190223276202,1.1,1.1,-0.0016252611183012393
-39.30526030256505,-8.457507674807108,1.1,1.1,-0.0020353473392620953
-39.751591313876034,-8.556392235770083,1.1,1.1,-0.002446865589568938
-40.1978910715298,-8.65474648979497,1.1,1.1,-0.0028606569783028546
-40.644114614124746,-8.752472472201838,1.1,1.1,-0.0032768770502738355
-41.090216980259264,-8.849472583850613,1.1,1.1,-0.0035393684879756033
-41.53615311714675,-8.945649134216248,1.1,1.1,-0.0023353021548734236
-41.981896888687935,-9.041041967142451,1.1,1.1,0.0018604624833500206
-42.42756042423195,-9.136703380473802,1.1,1.1,0.00823623527431456
-42.87331781213256,-9.23413720515517,1.1,1.1,0.014927127164305113
-43.31934323212855,-9.334849739525442,1.1,1.1,0.01606309646907751
-43.765812326118045,-9.440232045485622,1.1,1.1,0.00019261638570613346
-44.212955110052,-9.547250416431606,1.1,1.1,-0.0343329611297755
-44.661071692147615,-9.647151086793954,1.1,1.1,-0.07710781745584648
-45.11046674987031,-9.730800769253497,1.1,1.1,-0.11908847451711142
-45.5614450520704,-9.789066359260955,1.1,1.1,-0.14500301142779576
-46.014145869430926,-9.815161609492144,1.1,1.1,-0.14154723421376336
-46.468053059683,-9.811597687334904,1.1,1.1,-0.12014125962213525
-46.92248808947918,-9.783187473230615,1.1,1.1,-0.09637210671175775
-47.37677251685695,-9.734743573465757,1.1,1.1,-0.07831680072090458
-47.83019947913047,-9.670830027228492,1.1,1.1,-0.07341154739248412
-48.28164411879481,-9.592348712714925,1.1,1.1,-0.08018435965469511
-48.729663284520285,-9.497415089225887,1.1,1.1,-0.09079478161774275
-49.17280614864033,-9.384074615180856,1.1,1.1,-0.10005706915546737
-49.609642810644814,-9.250459656098757,1.1,1.1,-0.10507530985833403
-50.03905627213563,-9.095979956506014,1.1,1.1,-0.10623104299238637
-50.460166952847565,-8.921016043386992,1.1,1.1,-0.10627753239945194
-50.872101212537935,-8.72597275212609,1.1,1.1,-0.10644395737657981
-51.27398531957916,-8.511254643952835,1.1,1.1,-0.1067582088160959
-51.66494581649851,-8.277266737021561,1.1,1.1,-0.1072147280341997
-52.04410897166834,-8.02441377533171,1.1,1.1,-0.10780195827353442
-52.410601144846034,-7.753100411497771,1.1,1.1,-0.10876224786579823
-52.76354878717388,-7.463731480904149,1.1,1.1,-0.11232033281441971
-53.10183992642671,-7.1566234496764025,1.1,1.1,-0.12142828693278089
-53.422641171838485,-6.831453820281438,1.1,1.1,-0.1352306116331041
-53.722362465152656,-6.487619817505818,1.1,1.1,-0.1507346313644729
-53.99741036686905,-6.124516929821803,1.1,1.1,-0.16327627049586807
-54.24424517184551,-5.741588988346882,1.1,1.1,-0.16542134204870637
-54.46126517584222,-5.340017966187596,1.1,1.1,-0.15683587930877013
-54.649307739271656,-4.923172678605983,1.1,1.1,-0.14526935333542873
-54.809365759752666,-4.494561577086975,1.1,1.1,-0.1357656722844932
-54.94242829673572,-4.057663504387608,1.1,1.1,-0.12932810217875507
-55.0493586639627,-3.614897237698527,1.1,1.1,-0.12496408193631757
-55.1308618964202,-3.167350623614763,1.1,1.1,-0.12099691456273517
-55.1876331595189,-2.7160268862559658,1.1,1.1,-0.1169038496167463
-55.220367435899504,-2.261929158356825,1.1,1.1,-0.11279075026180511
-55.22975989097268,-1.8060609381918684,1.1,1.1,-0.10877376797267342
-55.21650541599421,-1.349425267110824,1.1,1.1,-0.10494681473414788
-55.18129926775968,-0.8930255520032732,1.1,1.1,-0.10182872795105448
-55.12483633752487,-0.4378650169888518,1.1,1.1,-0.10171708194746525
-55.04745904474472,0.0148294948092548,1.1,1.1,-0.10666004541851154
-54.94816407391462,0.462977696101951,1.1,1.1,-0.11520735244231071
-54.82562716554122,0.9042959680583064,1.1,1.1,-0.12521122580755903
-54.67852415151618,1.3365006004624471,1.1,1.1,-0.13610045263854068
-54.50553095511607,1.7573080658683942,1.1,1.1,-0.14759476250419673
-54.30532331684756,2.164434745445239,1.1,1.1,-0.15924525300934658
-54.07657715998722,2.555596928977085,1.1,1.1,-0.17044535818890671
-53.817968133656805,2.9285109062480386,1.1,1.1,-0.18138489233507155
-53.528269120578194,3.2806856145620413,1.1,1.1,-0.1953608224477904
-53.20759919535772,3.6067435971786352,1.1,1.1,-0.215868592088533
