x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-0.00016816240813469764
-0.2130138370025873,-0.3350884644846254,1.1,1.1,-0.00024607992285781183
-0.4260790476035923,-0.6701589045382781,1.1,1.1,-0.0003113648850806088
-0.6391917410668371,-1.005212431799844,1.1,1.1,-0.00028608001195536966
-0.8523479472533527,-1.3402503961166214,1.1,1.1,-0.0002609753529508127
-1.0655436960241311,-1.6752738297247052,1.1,1.1,-0.00023598261618799375
-1.278775176045767,-2.010284082471374,1.1,1.1,-0.00021088880999214294
-1.4920383377764803,-2.3452821865927427,1.1,1.1,-0.00018583809482668897
-1.7053293698828462,-2.6802694919360897,1.1,1.1,-0.00016075262921102254
-1.9186443022258957,-3.015247110140301,1.1,1.1,-0.00013567047706982175
-2.131979164666659,-3.3502162322471114,1.1,1.1,-0.00011062947275293566
-2.3453301458716727,-3.685178128700952,1.1,1.1,-8.551339758748455e-05
-2.558693196299196,-4.020133911140765,1.1,1.1,-6.036965571131586e-05
-2.772064425213032,-4.355084770608248,1.1,1.1,-3.54389460782236e-05
-2.9854399418769826,-4.690032056950642,1.1,1.1,-1.0537473528549245e-05
-3.198815855554813,-5.024976723001288,1.1,1.1,1.1372521046809569e-05
-3.412188196107573,-5.359920198010257,1.1,1.1,2.3863042705948917e-05
-3.625555137271293,-5.6948629583942,1.1,1.1,2.756108897264752e-05
-3.838916679046013,-6.029805321764263,1.1,1.1,2.830562843092189e-05
-4.052272742028939,-6.364747526328744,1.1,1.1,2.859640717834356e-05
-4.265623485025618,-6.699689651490472,1.1,1.1,2.8954763733339975e-05
-4.478968908036068,-7.034632014860516,1.1,1.1,2.952541159351188e-05
-4.6923090904630405,-7.369574695841687,1.1,1.1,3.0096026839534482e-05
-4.905643952903803,-7.704518012045092,1.1,1.1,3.0386636570257007e-05
-5.118973654163863,-8.039462042873524,1.1,1.1,3.081244270039173e-05
-5.332298194243256,-8.374407026535296,1.1,1.1,3.1344362877686636e-05
-5.545617652544756,-8.709353280641556,1.1,1.1,3.177955162211251e-05
-5.7589320290683625,-9.044300805192286,1.1,1.1,3.224376601082573e-05
-5.972241323814056,-9.37924991779861,1.1,1.1,3.2495557415852706e-05
-6.185545695587419,-9.714200777266074,1.1,1.1,3.3065834297145796e-05
-6.398845144388432,-10.04915354240026,1.1,1.1,3.3703676972063204e-05
-6.612139590814343,-10.384108530812275,1.1,1.1,3.3955287475404805e-05
-6.82542927307345,-10.719065821904913,1.1,1.1,3.445777048183317e-05
-7.038714111763016,-11.054025733289278,1.1,1.1,3.485402229341733e-05
-7.251994106883025,-11.388988264965352,1.1,1.1,3.517305220522167e-05
-7.465269496641792,-11.723953813947071,1.1,1.1,3.5849147494687974e-05
-7.678540122233811,-12.058922459637197,1.1,1.1,3.641900157396758e-05
-7.891806063061797,-12.39389444024405,1.1,1.1,3.667020510005726e-05
-8.10506739852858,-12.728869993975994,1.1,1.1,3.695992162322006e-05
-8.31832420803693,-13.06384920023582,1.1,1.1,3.7490964512846376e-05
-8.531576491586831,-13.398832376634616,1.1,1.1,3.799290974618411e-05
-8.744824328581073,-13.733819681977964,1.1,1.1,3.849479838925461e-05
-8.958067639616864,-14.068811195668632,1.1,1.1,3.888081799647056e-05
-9.171306583499788,-14.403807314720508,1.1,1.1,3.923773451552322e-05
-9.384541239632592,-14.738808118536376,1.1,1.1,3.984556358183935e-05
-9.597771528612531,-15.073813845324612,1.1,1.1,4.0240928002553546e-05
-9.810997529842355,-15.408824653890726,1.1,1.1,4.059760819291693e-05
-10.024219322724877,-15.743840703040314,1.1,1.1,4.1195555382216346e-05
-10.237436907260053,-16.07886231038447,1.1,1.1,4.159064304421393e-05
-10.450650362850697,-16.413889634728747,1.1,1.1,4.1985657657889666e-05
-10.663859689496809,-16.748922755475967,1.1,1.1,4.240953679486637e-05
-10.87706496660114,-17.083962069639984,1.1,1.1,4.099911291948161e-05
-11.0902662735665,-17.419007577220803,1.1,1.1,3.131567978957964e-05
-11.30346432501788,-17.754058722398995,1.1,1.1,8.735833246684963e-06
-11.51666237646928,-18.08911272607727,1.1,1.1,-2.071638448586281e-05
-11.72986392164298,-18.4241660151305,1.1,1.1,-5.072817579514029e-05
-11.943072454261292,-18.759215492850323,1.1,1.1,-8.087537884252494e-05
-12.156291547449293,-19.0942577449172,1.1,1.1,-0.00011102353855985636
-12.369524615526505,-19.429289357011577,1.1,1.1,-0.00014114422507706037
-12.582775311020807,-19.764307232425093,1.1,1.1,-0.00017146981958156073
-12.796047048251737,-20.099307798032623,1.1,1.1,-0.0002015568769762123
-13.00934347974712,-20.434287877723023,1.1,1.1,-0.00023157967285949985
-13.222667940423742,-20.769244136579527,1.1,1.1,-0.00026188641806717134
-13.436024162212211,-21.10417323968537,1.1,1.1,-0.0002920530066256974
-13.64941555943208,-21.439071931526595,1.1,1.1,-0.0003221864674489664
-13.862845625805656,-21.77393671838092,1.1,1.1,-0.00035250900195709674
-14.076317934458,-22.108764424137146,1.1,1.1,-0.00038273174932578564
-14.289836058514211,-22.443551634475742,1.1,1.1,-0.0004127493167915177
-14.503403412293808,-22.778295093882736,1.1,1.1,-0.0004429191037576622
-14.71702356892189,-23.11299146744137,1.1,1.1,-0.00046072402085026604
-14.93070010152353,-23.447637499637736,1.1,1.1,-0.00033478596350144333
-15.144430310404228,-23.78223477852736,1.1,1.1,0.00010755867511271774
-15.358153611243084,-24.116833248458697,1.1,1.1,0.0008020143477850645
-15.571776864579585,-24.451509850725216,1.1,1.1,0.0015636071630356601
-15.785206613342018,-24.78634144721764,1.1,1.1,0.0023251937444124637
-15.998349479861536,-25.12140513803501,1.1,1.1,0.0030860944637229005
-16.211112086469274,-25.45677794387361,1.1,1.1,0.003846182727255577
-16.42340097609352,-25.79253688542973,1.1,1.1,0.004605135565696525
-16.635122691662616,-26.128759062802377,1.1,1.1,0.005169505052720022
