x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-0.0004041705094821045
-0.2109487981020961,0.3350536353105793,1.1,1.1,-0.0005964436900585945
-0.4217897963864463,0.6701738831462957,1.1,1.1,-0.0007691990750500198
-0.632528222470951,1.0053574960475578,1.1,1.1,-0.0007300530598680772
-0.843169224767194,1.3406012265547738,1.1,1.1,-0.0006905181101134252
-1.0537181100994026,1.675901827208289,1.1,1.1,-0.0006509823181276841
-1.2641801852918253,2.0112559713421856,1.1,1.1,-0.0006117668057726307
-1.4745605987560249,2.346660490703177,1.1,1.1,-0.0005724438682161929
-1.6848645781099223,2.6821119794190187,1.1,1.1,-0.0005329333833305018
-1.8950974301777563,3.0176073484427306,1.1,1.1,-0.0004935020045797225
-2.105264461783753,3.353143271108415,1.1,1.1,-0.00045439156875407065
-2.3153707421331604,3.68871642075009,1.1,1.1,-0.00041513362330282644
-2.525421578050225,4.02432370832082,1.1,1.1,-0.00037548703021363425
-2.735422197152849,4.359961648742009,1.1,1.1,-0.00033612114508900054
-2.9453779854716062,4.695627232173027,1.1,1.1,-0.00029690217087621307
-3.155293933005406,5.0313169735353,1.1,1.1,-0.00025742861390887917
-3.3651755049911403,5.36702778378185,1.1,1.1,-0.00021810192304182695
-3.575027849840404,5.7027563362467575,1.1,1.1,-0.0001788822277380893
-3.784856115964759,6.038499304264084,1.1,1.1,-0.00013936763450665815
-3.994665689394781,6.374253598786869,1.1,1.1,-9.986619406907186e-05
-4.204461797748371,6.710015813942848,1.1,1.1,-6.0645799371350695e-05
-4.414249589437111,7.045782702272407,1.1,1.1,-2.141173455462437e-05
-4.624034371285242,7.381551095522262,1.1,1.1,1.8023326308452647e-05
-4.833821370910661,7.71731774623284,1.1,1.1,5.748530237640734e-05
-5.043615815931291,8.053079248531814,1.1,1.1,9.685378351981388e-05
-5.253422933965022,8.38883243416596,1.1,1.1,0.0001362625689025953
-5.463248031836091,8.724574055675646,1.1,1.1,0.00017559109210326304
-5.673096337162432,9.060300865601237,1.1,1.1,0.00021481266906402048
-5.882972998355594,9.396009537276832,1.1,1.1,0.0002541816342564217
-6.092883322239817,9.731696902449151,1.1,1.1,0.0002937247265608475
-6.302832536433022,10.067359634452234,1.1,1.1,0.0003329866888346611
-6.512825947759447,10.402994485826463,1.1,1.1,0.00037224865206995786
-6.722868625424317,10.7385982883186,1.1,1.1,0.0004118588448991795
-6.932966034664556,11.074167636056334,1.1,1.1,0.0004511208233702926
-7.143123244685398,11.40969936078642,1.1,1.1,0.0004903826946293002
-7.353345562311073,11.745190215049204,1.1,1.1,0.000529992733796346
-7.563638215159512,12.08063687217879,1.1,1.1,0.0005692543950238542
-7.77400651005493,12.416036084715566,1.1,1.1,0.0006046991904819549
-7.984455516202586,12.751384684406222,1.1,1.1,0.0006157582734901521
-8.194988718681072,13.086680611886155,1.1,1.1,0.0005825591441109162
-8.405600177015506,13.421927827471968,1.1,1.1,0.0005207017200672623
-8.616281020096695,13.75713211322587,1.1,1.1,0.00045398148494723347
-8.827022614434485,14.092299409622743,1.1,1.1,0.0003874623730958438
-9.037816326538668,14.427435340312192,1.1,1.1,0.00032055531921920465
-9.248653285300094,14.762545766562765,1.1,1.1,0.0002538348715576278
-9.459524857228567,15.09763647043668,1.1,1.1,0.0001871150909880409
-9.67042240883391,15.43271331320251,1.1,1.1,0.00012021037208650598
-9.881337069006952,15.76778207692247,1.1,1.1,5.348152391410082e-05
-10.092260204257508,16.1028484644525,1.1,1.1,-1.3233411046970944e-05
-10.303183022682724,16.43791833706112,1.1,1.1,-7.994593396712531e-05
-10.514096969998784,16.7729975560169,1.1,1.1,-0.00014677446946416875
-10.724993175096484,17.10809182417576,1.1,1.1,-0.0002135602777649222
-10.935862925279324,17.44320692359989,1.1,1.1,-0.0002801562789125603
-11.146697587057112,17.77834871555791,1.1,1.1,-0.00034689471465874233
-11.357488447733358,18.11352298211201,1.1,1.1,-0.0004136684285516319
-11.5682267154052,18.44873550532444,1.1,1.1,-0.0004804373367074425
