x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
0.0,0.0,1.1,1.1,-1.7151202498257002e-05
-0.383936998609612,-0.1032084728106182,1.1,1.1,-2.287176678951829e-05
-0.7678753496826622,-0.2064116948808926,1.1,1.1,-2.2494241030837672e-05
-1.151814018982386,-0.3096112573442502,1.1,1.1,-1.0395989302448369e-05
-1.5357522109420796,-0.4128090695608243,1.1,1.1,1.4593256836352665e-06
-1.9196891299950265,-0.5160067226640551,1.1,1.1,1.3501693412235718e-05
-2.3036237419044885,-0.6192059669007194,1.1,1.1,2.5567906292031542e-05
-2.6875553306604,-0.7224086320742855,1.1,1.1,3.687270814166342e-05
-3.0714830211393926,-0.8256163093181935,1.1,1.1,4.4869352816827396e-05
-3.455406017774737,-0.9288305102091988,1.1,1.1,4.691273943001116e-05
-3.839324479679776,-1.032051234747308,1.1,1.1,4.5647370591654544e-05
-4.223238645524531,-1.1352782442625122,1.1,1.1,4.4293055501735583e-05
-4.607148594865655,-1.2385113796414555,1.1,1.1,4.2873290106438114e-05
-4.991054566373195,-1.3417504817708008,1.1,1.1,4.1023457214262466e-05
-5.374956798717146,-1.4449953119805332,1.1,1.1,3.93277217111171e-05
-5.75885553056753,-1.5482455520439593,1.1,1.1,3.794032271179431e-05
-6.142750921037678,-1.651501201961079,1.1,1.1,3.630978335269687e-05
-6.5266431292409575,-1.754761863948541,1.1,1.1,3.473531309232286e-05
-6.910532393847366,-1.85802745844966,1.1,1.1,3.3282284651272975e-05
-7.294418953526939,-1.961297746794434,1.1,1.1,3.174034045881398e-05
-7.67830296739299,-2.0645725698695068,1.1,1.1,2.995525926168211e-05
-8.062184674115569,-2.1678516890048765,1.1,1.1,2.8324346394500935e-05
-8.446064232807995,-2.271134785973836,1.1,1.1,2.6992584747285683e-05
-8.82994180258362,-2.3744218607764065,1.1,1.1,2.526345042385508e-05
-9.213817781225814,-2.4777125951858805,1.1,1.1,2.3665072713992736e-05
-9.59769216873456,-2.5810067505322563,1.1,1.1,2.224432567198173e-05
-9.98156520377988,-2.684304247258856,1.1,1.1,2.051505201052041e-05
-10.365437204588462,-2.787604767138985,1.1,1.1,1.9005392251130494e-05
-10.749308250716984,-2.8909081510593158,1.1,1.1,1.7463001154552994e-05
-11.133178580835468,-2.9942142399064884,1.1,1.1,1.576634189172655e-05
-11.517048433613908,-3.097522715453825,1.1,1.1,1.4223903916769183e-05
-11.900917968165665,-3.200833498144647,1.1,1.1,1.2648743081101625e-05
-12.284787423160738,-3.3041462697522674,1.1,1.1,1.1106278781392606e-05
-12.66865703726917,-3.4074609507200213,1.1,1.1,9.507699085915574e-06
-13.052526890047613,-3.5107772228212157,1.1,1.1,7.93252696889765e-06
-13.436397220166082,-3.6140949269425,1.1,1.1,6.324646128305937e-06
-13.820268345851282,-3.717413903970537,1.1,1.1,4.6933765666575616e-06
-14.204140346659866,-3.8207338356786416,1.1,1.1,3.272473587228843e-06
-14.588013461261864,-3.9240546425101406,1.1,1.1,1.7300595818043431e-06
-14.971887928327275,-4.027376085795013,1.1,1.1,6.614448712041078e-08
-15.35576382741279,-4.130697926863244,1.1,1.1,-1.5416302621836504e-06
-15.739641556301772,-4.23402000660149,1.1,1.1,-3.205474466841695e-06
-16.123521194550875,-4.337342086339743,1.1,1.1,-4.836566989884915e-06
-16.507402980830108,-4.440663927407974,1.1,1.1,-6.257274342158813e-06
-16.89128707425285,-4.543985370692847,1.1,1.1,-7.67793468420242e-06
-17.275173713489085,-4.647306257081011,1.1,1.1,-9.37428968238813e-06
-17.659063057652162,-4.750626347902459,1.1,1.1,-1.107057638460779e-05
-18.042955424968785,-4.853945404487168,1.1,1.1,-1.2701383480849734e-05
-18.42685089499561,-4.957263267721802,1.1,1.1,-1.424330822349558e-05
-18.81074970640267,-5.060579619379668,1.1,1.1,-1.5574828367336192e-05
-19.19465209785997,-5.163894459460765,1.1,1.1,-1.723811060998838e-05
-19.57855822848084,-5.2672074697384,1.1,1.1,-1.9022812833457445e-05
-19.96246833693532,-5.370518411542572,1.1,1.1,-2.056439880371684e-05
-20.346382582336737,-5.473827125759918,1.1,1.1,-2.1984381805295972e-05
-20.73030120335512,-5.577133373720441,1.1,1.1,-2.3525774751018252e-05
-21.114224359103808,-5.6804370758674505,1.1,1.1,-2.5221257597923113e-05
-21.498152288252808,-5.783737834417602,1.1,1.1,-2.6795115094840698e-05
-21.88208522947216,-5.887035649370888,1.1,1.1,-2.8457663135035764e-05
-22.26602334187517,-5.99033012294395,1.1,1.1,-2.999858778574807e-05
-22.6499668641319,-6.093621175580118,1.1,1.1,-3.1385208374910946e-05
-23.033915955355663,-6.196908568609368,1.1,1.1,-3.304738171799753e-05
