x,y
4.680000,0.690000
4.686894,0.696935
4.693871,0.703775
4.700930,0.710524
4.708069,0.717181
4.715289,0.723748
4.722586,0.730228
4.729960,0.736620
4.737409,0.742927
4.744932,0.749150
4.752529,0.755290
4.760196,0.761349
4.767934,0.767328
4.775740,0.773229
4.783613,0.779052
4.791553,0.784799
4.799557,0.790472
4.807625,0.796072
4.815755,0.801600
4.823945,0.807058
4.832195,0.812447
4.840502,0.817768
4.848867,0.823024
4.857286,0.828215
4.865760,0.833342
4.874286,0.838407
4.882864,0.843412
4.891492,0.848358
4.900168,0.853245
4.908892,0.858077
4.917661,0.862853
4.926475,0.867575
4.935333,0.872246
4.944232,0.876865
4.953172,0.881435
4.962152,0.885957
4.971169,0.890432
4.980223,0.894861
4.989312,0.899247
4.998436,0.903590
5.007591,0.907892
5.016778,0.912154
5.025995,0.916377
5.035241,0.920563
5.044514,0.924714
5.053812,0.928831
5.063136,0.932914
5.072482,0.936966
5.081851,0.940988
5.091240,0.944981
5.100648,0.948947
5.110074,0.952886
5.119517,0.956801
5.128975,0.960693
5.138446,0.964563
5.147931,0.968413
5.157426,0.972243
5.166932,0.976056
5.176446,0.979852
5.185967,0.983633
5.195494,0.987401
5.205025,0.991157
5.214560,0.994902
5.224097,0.998637
5.233634,1.002365
5.243170,1.006086
5.252704,1.009801
5.262235,1.013513
5.271761,1.017222
5.281280,1.020931
5.290792,1.024639
5.300296,1.028349
5.309789,1.032062
5.319270,1.035780
5.328739,1.039503
5.338194,1.043234
5.347634,1.046972
5.357060,1.050718
5.366472,1.054472
5.375870,1.058235
5.385254,1.062006
5.394624,1.065786
5.403979,1.069576
5.413322,1.073375
5.422650,1.077184
5.431964,1.081003
5.441265,1.084833
5.450553,1.088673
5.459827,1.092524
5.469087,1.096386
5.478334,1.100260
5.487568,1.104145
5.496789,1.108043
5.505996,1.111953
5.515191,1.115875
5.524372,1.119810
5.533540,1.123759
5.542696,1.127721
5.551838,1.131696
5.560968,1.135686
5.570086,1.139689
5.579190,1.143708
5.588282,1.147741
5.597362,1.151789
5.606429,1.155852
5.615484,1.159931
5.624527,1.164026
5.633557,1.168137
5.642575,1.172265
5.651582,1.176409
5.660576,1.180570
5.669558,1.184749
5.678528,1.188945
5.687487,1.193159
5.696434,1.197390
5.705369,1.201641
5.714293,1.205910
5.723205,1.210198
5.732105,1.214505
5.740995,1.218831
5.749873,1.223178
5.758739,1.227544
5.767595,1.231931
5.776439,1.236338
5.785272,1.240766
5.794095,1.245215
5.802906,1.249686
5.811707,1.254178
5.820497,1.258692
5.829276,1.263229
5.838044,1.267788
5.846802,1.272370
5.855549,1.276974
5.864286,1.281603
5.873013,1.286254
5.881729,1.290930
5.890435,1.295630
5.899132,1.300352
5.907818,1.305098
5.916496,1.309866
5.925164,1.314655
5.933824,1.319465
5.942475,1.324295
5.951119,1.329145
5.959754,1.334014
5.968382,1.338902
5.977003,1.343807
5.985617,1.348729
5.994225,1.353668
6.002826,1.358622
6.011421,1.363592
6.020011,1.368576
6.028596,1.373575
6.037175,1.378586
6.045750,1.383611
6.054320,1.388648
6.062886,1.393696
6.071448,1.398755
6.080007,1.403824
6.088563,1.408903
6.097115,1.413991
6.105665,1.419087
6.114213,1.424191
6.122759,1.429303
6.131303,1.434420
6.139845,1.439544
6.148387,1.444673
6.156928,1.449806
6.165468,1.454944
6.174008,1.460085
6.182548,1.465229
6.191089,1.470374
6.199631,1.475522
6.208173,1.480670
6.216717,1.485819
6.225262,1.490967
6.233810,1.496114
6.242359,1.501260
6.250911,1.506403
6.259466,1.511544
6.268025,1.516681
6.276586,1.521814
6.285152,1.526942
6.293721,1.532065
6.302295,1.537182
6.310873,1.542293
6.319457,1.547396
6.328046,1.552491
6.336640,1.557578
6.345240,1.562656
6.353847,1.567724
6.362460,1.572782
6.371079,1.577829
6.379706,1.582864
6.388340,1.587887
6.396982,1.592897
6.405632,1.597894
6.414290,1.602877
6.422957,1.607845
6.431633,1.612797
6.440318,1.617734
6.449013,1.622654
6.457717,1.627557
6.466431,1.632442
6.475156,1.637309
6.483892,1.642157
6.492638,1.646985
6.501394,1.651796
6.510160,1.656591
6.518933,1.661369
6.527715,1.666134
6.536504,1.670884
6.545299,1.675623
6.554099,1.680350
6.562905,1.685067
6.571715,1.689775
6.580528,1.694476
6.589345,1.699169
6.598163,1.703857
6.606983,1.708540
6.615804,1.713220
6.624625,1.717897
6.633445,1.722573
6.642263,1.727249
6.651080,1.731926
6.659894,1.736605
6.668705,1.741287
6.677511,1.745974
6.686312,1.750665
6.695108,1.755363
6.703898,1.760069
6.712680,1.764783
6.721455,1.769507
6.730222,1.774242
6.738979,1.778989
6.747727,1.783749
6.756464,1.788523
6.765190,1.793313
6.773904,1.798118
6.782606,1.802942
6.791294,1.807784
6.799968,1.812645
6.808628,1.817527
6.817272,1.822432
6.825900,1.827359
6.834511,1.832310
6.843105,1.837287
6.851680,1.842290
6.860237,1.847320
6.868773,1.852379
6.877290,1.857467
6.885785,1.862586
6.894259,1.867737
6.902710,1.872921
6.911139,1.878139
6.919543,1.883391
6.927923,1.888681
6.936277,1.894007
6.944607,1.899371
6.952911,1.904771
6.961191,1.910208
6.969447,1.915681
6.977679,1.921189
6.985887,1.926732
6.994072,1.932309
7.002233,1.937921
7.010373,1.943566
7.018489,1.949244
7.026584,1.954955
7.034657,1.960697
7.042708,1.966472
7.050739,1.972278
7.058748,1.978114
7.066737,1.983981
7.074706,1.989878
7.082654,1.995803
7.090584,2.001758
7.098494,2.007742
7.106385,2.013753
7.114257,2.019792
7.122111,2.025857
7.129947,2.031950
7.137766,2.038068
7.145566,2.044212
7.153350,2.050381
7.161117,2.056575
7.168868,2.062794
7.176602,2.069036
7.184321,2.075301
7.192024,2.081589
7.199712,2.087899
7.207385,2.094232
7.215043,2.100586
7.222687,2.106961
7.230317,2.113356
7.237934,2.119772
7.245537,2.126207
7.253127,2.132661
7.260704,2.139134
7.268269,2.145625
7.275822,2.152133
7.283363,2.158659
7.290892,2.165202
7.298410,2.171762
7.305918,2.178337
7.313415,2.184927
7.320902,2.191532
7.328378,2.198152
7.335845,2.204786
7.343303,2.211434
7.350752,2.218094
7.358192,2.224767
7.365624,2.231453
7.373048,2.238150
7.380464,2.244858
7.387873,2.251577
7.395274,2.258306
7.402669,2.265045
7.410057,2.271794
7.417439,2.278551
7.424815,2.285317
7.432186,2.292091
7.439551,2.298872
7.446912,2.305661
7.454267,2.312456
7.461619,2.319257
7.468966,2.326063
7.476310,2.332875
7.483650,2.339692
7.490988,2.346513
7.498322,2.353337
7.505654,2.360165
7.512984,2.366996
7.520313,2.373829
7.527639,2.380664
7.534965,2.387501
7.542289,2.394339
7.549613,2.401177
7.556937,2.408015
7.564261,2.414853
7.571585,2.421690
7.578910,2.428525
7.586236,2.435359
7.593563,2.442191
7.600891,2.449019
7.608222,2.455845
7.615555,2.462667
7.622890,2.469485
7.630229,2.476298
7.637570,2.483107
7.644915,2.489909
7.652264,2.496706
7.659616,2.503496
7.666974,2.510280
7.674335,2.517056
7.681702,2.523824
7.689075,2.530584
7.696453,2.537335
7.703837,2.544077
7.711227,2.550809
7.718624,2.557532
7.726027,2.564243
7.733438,2.570943
7.740857,2.577632
7.748283,2.584309
7.755717,2.590973
7.763160,2.597625
7.770612,2.604263
7.778073,2.610887
7.785543,2.617496
7.793023,2.624091
7.800513,2.630671
7.808013,2.637235
7.815524,2.643783
7.823046,2.650314
7.830579,2.656828
7.838123,2.663324
7.845680,2.669802
7.853249,2.676262
7.860830,2.682703
7.868424,2.689124
7.876031,2.695525
7.883652,2.701906
7.891286,2.708266
7.898935,2.714605
7.906598,2.720922
7.914275,2.727217
7.921968,2.733489
7.929676,2.739738
7.937399,2.745964
7.945137,2.752168
7.952888,2.758352
7.960652,2.764519
7.968427,2.770671
7.976212,2.776810
7.984006,2.782937
7.991808,2.789056
7.999617,2.795168
8.007431,2.801275
8.015251,2.807380
8.023073,2.813484
8.030898,2.819590
8.038724,2.825700
8.046550,2.831815
8.054375,2.837939
8.062198,2.844073
8.070018,2.850219
8.077834,2.856380
8.085644,2.862557
8.093447,2.868752
8.101243,2.874969
8.109030,2.881208
8.116807,2.887473
8.124573,2.893764
8.132327,2.900085
8.140068,2.906437
8.147794,2.912822
8.155505,2.919243
8.163200,2.925702
8.170876,2.932201
8.178534,2.938741
8.186172,2.945325
8.193791,2.951953
8.201390,2.958623
8.208971,2.965335
8.216533,2.972086
8.224079,2.978876
8.231607,2.985703
8.239119,2.992567
8.246615,2.999467
8.254096,3.006400
8.261562,3.013366
8.269014,3.020363
8.276452,3.027391
8.283877,3.034448
8.291290,3.041534
8.298690,3.048646
8.306079,3.055783
8.313458,3.062946
8.320826,3.070131
8.328184,3.077339
8.335533,3.084567
8.342873,3.091816
8.350206,3.099083
8.357530,3.106367
8.364848,3.113667
8.372159,3.120982
